55104:
 num     #instances         #bytes  class name (module)
 337:            26           1040  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@17.0.18)
 338:            32           1024  java.util.Formatter (java.base@17.0.18)
 339:            16           1024  sun.java2d.loops.RenderLoops (java.desktop@17.0.18)
 340:            18           1008  [Ljava.util.regex.Pattern$GroupHead; (java.base@17.0.18)
 341:            14           1008  java.awt.geom.AffineTransform (java.desktop@17.0.18)
 342:            42           1008  java.util.concurrent.CopyOnWriteArrayList (java.base@17.0.18)
 343:            25           1000  java.util.IdentityHashMap (java.base@17.0.18)
 344:            25           1000  jdk.internal.logger.LazyLoggers$LazyLoggerAccessor (java.base@17.0.18)
 345:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@17.0.18)
 346:            31            992  sun.util.locale.BaseLocale (java.base@17.0.18)
 347:            30            960  [Lcom.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute; (java.xml@17.0.18)
 348:            30            960  com.sun.org.apache.xerces.internal.util.NamespaceSupport (java.xml@17.0.18)
 349:            24            960  java.io.BufferedInputStream (java.base@17.0.18)
 350:            24            960  java.lang.invoke.VarHandle$AccessDescriptor (java.base@17.0.18)
 351:            60            960  kotlin.jvm.internal.Ref$ObjectRef
 352:            30            960  sun.security.ssl.EphemeralKeyManager$EphemeralKeyPair (java.base@17.0.18)
 353:            17            952  java.awt.image.PixelInterleavedSampleModel (java.desktop@17.0.18)
 354:            17            952  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL (java.base@17.0.18)
 355:            59            944  java.util.concurrent.locks.ReentrantLock (java.base@17.0.18)
 356:            28            936  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@17.0.18)
 357:            39            936  sun.nio.fs.NativeBuffer$Deallocator (java.base@17.0.18)
 358:            38            912  java.lang.invoke.Invokers (java.base@17.0.18)
 359:            38            912  java.util.regex.Pattern$BmpCharPredicate$$Lambda$10/0x00000008000acc38 (java.base@17.0.18)
 360:            38            912  kotlin.Pair
 361:            19            912  sun.security.provider.MoreDrbgParameters (java.base@17.0.18)
 362:            56            896  [Ljava.security.Principal; (java.base@17.0.18)
 363:            56            896  java.security.ProtectionDomain$Key (java.base@17.0.18)
 364:            16            896  java.util.stream.ReferencePipeline$Head (java.base@17.0.18)
 365:            37            888  java.util.ImmutableCollections$ListN (java.base@17.0.18)
 366:            37            888  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@17.0.18)
 367:            22            880  java.util.HashMap$ValueIterator (java.base@17.0.18)
 368:            15            872  [Ljava.util.regex.Pattern$Node; (java.base@17.0.18)
 369:            36            864  java.security.Permissions (java.base@17.0.18)
 370:            27            864  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl (java.base@17.0.18)
